ID,LowerID,Heading,UpperID
94VA,14,,32
94WA,14,,32
94WI,H1,,
94XS,14,,32
94Z,3,,21
95CA,17,,35
95CL,H1,,
95CO,15,,33
95FD,9,,27
95FL,H1,,
95GA,4,,22
95IL,3,,21
95IN,8,,26
95IS,12,,30
95KY,05U,,23U
95LA,H1,,
95MI,12,,30
95MN,07W,,25W
95MN,09W,,27W
95MN,18W,,36W
95MO,10,,28
95NJ,H1,,
95NY,N,,S
95OH,18,,36
95OI,H1,,
95OK,17,,35
95OR,1,,19
95PA,H1,,
95PA,H2,,
95PN,H1,,
95TA,4,,22
95TE,H1,,
95TS,11,,29
95TX,N,180,S
95VA,17,,35
95WA,18,,36
95WI,18,,36
95XS,H1,,
95XS,H2,,
95XS,H3,,
95Z,15,,33
96AK,18,,36
96C,1,,19
96CA,H1,,
96CL,H1,,
96CO,8,,26
96CO,17,,35
96FD,N,,S
96FL,18,,36
96G,9,,27
96GA,18,,36
96ID,1,,19
96IL,18,,36
96IN,H1,,
96IS,N,,S
96KY,9,,27
96LA,H1,,
96LL,N,,S
96M,09W,,27W
96MO,H1,,
96MU,18,,36
96NJ,H1,,
96NY,H1,,
96OH,H1,,
96OI,H1,,
96OK,17,,35
96OR,12,136,30
96PN,H1,,
96TA,H1,,
96TS,9,,27
96TX,N,,S
96VE,14,,32
96WA,16,,34
96WI,7,,25
96WI,N,,S
96WY,4,,22
96WY,12,,30
96XS,H1,,
96Z,NW,,SE
97AK,8,,26
97CA,13,,31
97CL,2,,20
97CO,9,,27
97F,17,,35
97FD,H1,,
97FL,N,,S
97G,9,,27
97GA,10,,28
97IA,18,,36
97IL,H1,,
97IN,H1,,
97IS,H1,,
97KS,8,,26
97KY,H1,,
97LA,9,,27
97MN,H1,,
97MO,18,,36
97MT,2,36,20
97NC,H1,,
97ND,17,,35
97NY,N,,S
97OG,17,,35
97OH,H1,,
97OI,H1,,
97OK,H1,,H1
97OK,H2,,H3
97OR,14,,32
97PA,10,,28
97PN,18,,36
97TA,H1,,
97TE,H1,,
97TE,H2,,
97TE,H3,,
97TN,4,,22
97TS,15,,33
97TX,15,,33
97VA,5,,23
97WA,4,,22
97WA,H1,,H1
97WI,9,,27
97WY,H1,,
97XS,9,,27
97XS,18,,36
97Y,11,,29
98AK,9,,27
98CA,H1,,
98CL,N,,S
98CO,H1,,
98FD,13,,31
98FL,18,,36
98G,6,,24
98G,18,,36
98GA,13,,31
98IA,H1,,
98ID,H1,,
98IL,H1,,
98IN,9,,27
98KS,N,350,S
98KY,H1,,
98L,H1,,
98LA,H1,,
98LL,9,,27
98ME,6,,24
98MI,H1,,
98MN,18,,36
98MO,18,,36
98MT,18,,36
98NC,H1,,
98ND,17,,35
98NH,H1,,
98NJ,H1,,
98NM,8,,26
98NY,E,,W
98NY,N,,S
98OH,18,,36
98OI,H1,,
98OK,17,,35
98OL,17,,35
98OR,17,,35
98PA,NW,,SE
98PN,H1,,
98TA,H1,,
98TE,12,,30
98TN,14,,32
98TS,6,,24
98TS,17,,35
98TS,18,,36
98TX,H1,,
98VA,18,,36
98WA,H1,,
98WI,H1,,
98WY,H1,,
98XS,H1,,
99A,17,,35
99AK,3,,21
99AZ,8,,26
99C,ALL,,WAY
99CA,H1,,H1
99CL,4,60.1,22
99CL,7,90,25
99CL,16,178.7,34
99CN,H1,,
99CO,7,,25
99F,17,,35
99FD,H1,,
99FL,9,,27
99GA,H1,,
99HI,H1,,
99IA,18,,36
99ID,H1,,
99IL,18,,36
99IN,9,,27
99KS,15,,33
99KY,10,,28
99LA,15,,33
99MI,12,,30
99MI,2,,20
99MN,H1,,
99MO,H1,,
99MT,18,,36
99NA,H1,,
99NC,H1,,
99NJ,H1,,
99NY,1,,19
99OH,H1,,
99OI,H1,,
99OK,H1,,
99OR,11,,29
99PA,3,,21
99SC,14,,32
99TA,H1,,
99TE,18,,36
99TN,H1,,
99TS,H1,,
99TX,13,,31
99UT,8,,26
99VA,5,,23
99WA,H1,,
99WY,18,,36
99XS,N,,S
99Y,13,,31
99Z,ALL,,WAY
9A2,5,,23
9A3,9,106,27
9A8,6,,24
9A9,10,,28
9AK,7,,25
9AK0,7,,25
9AK1,01W,,19W
9AK1,2,,20
9AK2,9,,27
9AK3,6,,24
9AK4,15,,33
9AK5,16,,34
9AK6,7,,25
9AK7,4,,22
9AK8,18,,36
9AL6,H1,,
9AL9,H1,,
9AR9,10,,28
9B1,14,,32
9B8,17,,35
9C0,NE,,SW
9CA0,5,,23
9CA1,H1,,
9CA2,H1,,
9CA3,H1,,
9CA4,H1,,
9CA5,H1,,
9CA6,16,,34
9CA7,7,78.2,25
9CA8,H1,,
9CA8,H2,,
9CA9,H1,,
9CL0,13,,31
9CL1,9,,27
9CL2,7,84.2,25
9CL3,6,,24
9CL4,E,,W
9CL4,N,,S
9CL5,NW,,SE
9CL6,H1,,-
9CL6,H2,,-
9CL6,H3,,-
9CL7,16,,34
9CL8,H1,,
9CL9,7,,25
9CO0,H1,,
9CO1,H1,,
9CO2,E,,W
9CO3,18,,36
9CO4,H1,,
9CO5,17,,35
9CO6,15,,33
9CO7,17,,35
9CO8,10,,28
9CO9,1,,19
9F1,6,,24
9F1,14,,32
9F5,H1,,
9FA8,H1,,
9FD0,9,,27
9FD0,18,,36
9FD1,H1,,
9FD2,17,,35
9FD3,H1,,
9FD5,9,,27
9FD6,H1,,
9FD7,9,,27
9FD8,H1,,
9FD9,1,,19
9FL0,2,,20
9FL1,9,,27
9FL2,18,,36
9FL3,12W,,30W
9FL4,H1,,
9FL5,18,,36
9FL6,H1,,
9FL7,18,,36
9FL8,9,,27
9FL9,H1,,
9G0,6,48,24
9G1,17,,35
9G5,7,,25
9G6,10,91,28
9G9,8,,26
9G9,17,,35
9GA0,9,,27
9GA1,16,,34
9GA2,18,,36
9GA3,E,,W
9GA4,H1,,
9GA5,9,,27
9GA6,6,,24
9GA7,H1,,
9GA8,12,,30
9GA9,16,,34
9GE6,H1,,
9GE7,15,,33
9GE8,H1,,
9GE9,H1,,
9I0,9,,27
9I3,7,,25
9II0,18,,36
9II2,E,,W
9II3,9,,27
9II4,9,,27
9II5,H1,,
9II6,H1,,
9II7,H1,,
9II8,7,,25
9IL0,18,,36
9IL1,H1,,
9IL2,18,,36
9IL3,N,,S
9IL4,18,,36
9IL5,H1,,
9IL6,18,,36
9IL7,1,,19
9IL8,H1,,
9IN1,H1,,
9IN2,12,,30
9IN3,18,,36
9IN4,18,,36
9IN5,H1,,
9IN6,2,,20
9IN7,9,,27
9IN8,9,,27
9IN8,18,,36
9IN9,18,,36
9IS0,9,90.7,27
9IS2,18,180,36
9IS3,H1,,
9IS4,H1,,
9IS5,18,,36
9IS6,H1,,
9IS7,H1,,
9IS8,H1,,
9IS9,8,,26
9K0,17,,35
9K5,4,,22
9K6,18,,36
9KS0,H1,,
9KS1,18,,36
9KS2,H1,,
9KS3,H1,,
9KS4,16,,34
9KS5,17,,35
9KS6,16,,34
9KS7,17,,35
9KY9,13,124,31
9LA1,2,,20
9LA4,H1,,
9LA4,H2,,
9LA4,H3,,
9LA5,H1,,
9LA6,15,,33
9LA8,H1,,
9LA9,9,,27
9LL0,N,,S
9LL2,E,,W
9LL3,E,,W
9LL5,18,,36
9LL7,H1,,
9LL8,H1,,
9LL9,18,,36
9LS1,17,,35
9LS5,8,,26
9LS9,10,,28
9M0,3,,21
9M0,9,,27
9M0,13,,31
9MA8,H1,,
9MD9,10,,28
9MI0,H1,,
9MI1,H1,,
9MI2,17,,35
9MI3,H1,,
9MI5,E,,W
9MI6,1,,19
9MI6,12,,30
9MI7,H1,,
9MI8,H1,,
9MI9,H1,,
9MN0,03W,,21W
9MN1,9,,27
9MN2,10,,28
9MN2,16,,34
9MN3,17,,35
9MN4,H1,,
9MN5,N,,S
9MN6,9,,27
9MN7,H1,,
9MN8,NE,,SW
9MO0,H1,,
9MO1,H1,,
9MO2,H1,,
9MO3,1,,19
9MO4,N,,S
9MO5,18,,36
9MO6,NE,,SW
9MO7,H1,,
9MO8,H1,,
9MO9,8,,26
9MS9,18,,36
9MT8,14,,32
9MT9,13,,31
9N1,05G,,23G
9N1,7,,25
9N2,11,,29
9N3,4,24,22
9N7,10,,28
9NA2,H1,,
9NA4,17,,35
9NC0,1,8,19
9NC1,H1,,
9NC2,4,,22
9NC3,6,,24
9NC4,18,,36
9NC5,H1,,
9NC6,12,,30
9NC7,12,,30
9NC8,1,,19
9NC9,9,,27
9ND1,17,,35
9ND8,7,,25
9NE1,11,,29
9NE2,17,,35
9NE3,2,,20
9NE4,17,,35
9NE6,18,0,36
9NE8,12,,30
9NJ1,H1,,
9NJ2,H1,,
9NJ3,H1,,
9NJ4,H1,,
9NJ5,11,,29
9NJ6,18,,36
9NJ8,13,,31
9NR7,9,,27
9NR8,6,,24
9NR9,H1,,
9NY1,H1,,
9NY2,H1,,
9NY3,H1,,
9NY3,H2,,
9NY4,12,,30
9NY5,H1,,
9NY6,16,,34
9NY7,12,,30
9NY8,H1,,
9NY9,H1,,
9OA2,H1,,
9OA3,9,,27
9OA4,18,,36
9OA5,1,3,19
9OA6,H1,,
9OA8,E,,W
9OA9,9,,27
9OH1,9,,27
9OH2,E,,W
9OH3,H1,,
9OH4,E,,W
9OH4,N,,S
9OH5,H1,,
9OH6,E,,W
9OH7,18,,36
9OH8,N,,S
9OH9,9,,27
9OI1,H1,,
9OI3,9,,27
9OI4,H1,,
9OI5,16,154.1,34
9OI6,17,,35
9OI7,18,,36
9OI8,17,,35
9OI9,H1,,
9OK0,H1,,
9OK1,H1,,
9OK1,H2,,
9OK1,H3,,
9OK1,H4,,
9OK2,H1,,
9OK3,4,,22
9OK5,16,,34
9OK6,H1,,
9OK7,17,,35
9OR0,16,,34
9OR1,11,,29
9OR2,H1,,
9OR3,H1,,
9OR4,12,,30
9OR5,H1,,
9OR6,H1,,
9OR7,H1,,
9OR8,16,,34
9PA0,NE,,SW
9PA2,E,,W
9PA4,H1,,
9PA5,8,,26
9PA6,H1,,
9PA7,9,,27
9PA8,H1,,
9PA9,H1,,
9PN1,16,,34
9PN2,H1,,
9PN5,H1,,
9PN6,H1,,
9PN7,6,,24
9PN8,N,,S
9PN9,H1,,
9PS0,H1,,
9PS1,H1,,
9PS2,18,,36
9PS3,H1,,
9PS4,H1,,
9PS5,H1,,
9PS6,H1,,
9PS7,H1,,
9PS8,6,,24
9PS9,H1,,
9R5,14L,,32R
9R5,14R,,32L
9R7,H1,,
9S3,15,,33
9S7,8,,26
9SD7,13,,31
9SD7,17,,35
9SD8,12,,30
9SD9,17,170,35
9TA0,H1,,
9TA1,E,,W
9TA2,18,180,36
9TA3,7,,25
9TA4,H1,,
9TA5,H1,,
9TA6,H1,,
9TA7,H1,,
9TA7,H2,,
9TA8,15,,33
9TA9,H1,,
9TE0,17,,35
9TE1,H1,,
9TE1,H2,,
9TE1,H3,,
9TE1,H4,,
9TE1,H5,,
9TE2,14,,32
9TE3,15,,33
9TE4,08W,,26W
9TE4,9,,27
9TE4,17,,35
9TE4,17W,,35W
9TE5,11,,29
9TE5,17,,35
9TE6,18,,36
9TE7,18,,36
9TE8,H1,,
9TE8,H2,,
9TE9,H1,,
9TE9,H2,,
9TN0,H1,,
9TN1,6,,24
9TN2,1,10,19
9TN4,9,,27
9TN5,16,,34
9TN6,H1,,
9TN7,9,,27
9TN8,H1,,
9TN9,6,,24
9TS0,H1,,
9TS1,H1,,
9TS1,H2,,
9TS2,H1,,
9TS3,17,170,35
9TS4,H1,,
9TS5,H1,,
9TS6,17,,35
9TS7,H1,,
9TS8,H1,,
9TS9,H1,,
9TX0,H1,,
9TX1,13,,31
9TX2,4,,22
9TX3,17,,35
9TX4,17,,35
9TX5,10,104.3,28
9TX6,18,,36
9TX7,18,,36
9TX8,H1,,
9TX9,6,,24
9U1,1,,19
9V2,1,,19
9V2,14,,32
9V3,12,,30
9VA0,E,,W
9VA1,E,,W
9VA2,H1,,
9VA3,4,,22
9VA4,3,,21
9VA5,H1,,
9VA7,H1,,
9VA8,H1,,
9VA9,H1,,
9VG,3,,21
9VG,14,,32
9VG9,16,,34
9W3,1,,19
9W8,10,,28
9W9,5,,23
9WA0,H1,,
9WA1,H1,,
9WA2,H1,,
9WA3,3,,21
9WA3,04W,,22W
9WA4,7,,25
9WA5,H1,,
9WA6,H1,,
9WA7,16,,34
9WA8,H1,,
9WA9,H1,,
9WI0,H1,,
9WI1,9,,27
9WI2,N,,S
9WI3,N,,S
9WI4,N,,S
9WI5,15,,33
9WI6,8,,26
9WI8,E,,W
9WI9,9,,27
9WN1,18,180,36
9WN2,4,40.5,22
9WN3,9,,27
9WN3,18,,36
9WN4,18,,36
9WN5,9,,27
9WN6,ALL,,WAY
9WN9,18,,36
9WS2,18,,36
9WY0,H1,,
9X9,9,92,27
9XS0,1,,19
9XS1,6,,24
9XS2,17,,35
9XS3,3,,21
9XS4,18,,36
9XS5,N,,S
9XS6,4,,22
9XS7,4,,22
9XS8,H1,,
9XS9,15,,33
9Y0,7,,25
9Y2,13,,31
9Y5,3,,21
9Y5,7,,25
9Y5,14,,32
9Y7,9,,27
9Z3,NE,,SW
9Z7,4,,22
9Z7,13,,31
9Z8,1,,19
9Z9,15,,33
A05,18,,36
A13,14,,32
A23,NW,,SE
A26,9,,27
A27,E,,W
A28,16,181,34
A29,NW,,SE
A43,NE,,SW
A51,18,,36
A57,6,,24
A61,2,,20
A63,18,,36
A67,5,,23
A68,13,,31
A69,12,,30
A70,2,,20
A77,13,,31
A79,8,,26
AA00,2,,20
AA01,11W,,29W
AA02,01W,,19W
AA03,H1,,
AA04,H1,,
AA05,6,,24
AA06,6,,24
AA07,H1,,
AA11,07W,,25W
AA12,15W,,33W
AA22,15,,33
AA27,H1,,
AA30,5,,23
AA33,18,,36
AA44,H1,,
AA50,4,,22
AA76,15,,33
AA85,06W,,24W
ADC,7,,25
AEK,16,,34
AFR,3,,21
AGAF,6,,24
AGAR,11,,29
AGAT,13,,31
AGEV,15,,33
AGGA,18,,36
AGGB,11,,29
AGGC,13,,31
AGGE,5,,23
AGGF,18,,36
AGGH,6,68,24
AGGI,17,,35
AGGJ,14,,32
AGGK,10,,28
AGGL,5,,23
AGGM,7,78.9,25
AGGN,14,,32
AGGO,4,,22
AGGP,12,,30
AGGQ,9,,27
AGGR,12,,30
AGGS,10,,28
AGGT,11,,29
AGGU,5,,23
AGGV,4,,22
AGKG,14,,32
AGKU,13,,31
AGKW,8,,26
AGNA,12,,30
AGRC,1,,19
AHJ,16,163,34
AIE,1,,19
AIH,13,,31
AK0,10,,28
AK00,16,,34
AK01,6,,24
AK02,10,,28
AK05,17,,35
AK06,12,,30
AK07,4,,22
AK07,14,,32
AK08,15,,33
AK09,15,,33
AK1,7,,25
AK10,15,,33
AK11,4,,22
AK12,13,,31
AK13,8,,26
AK14,9,,27
AK16,E,,W
AK17,1,,19
AK18,12,,30
AK19,16,,34
AK20,4,,22
AK21,16,,34
AK22,6,,24
AK22,06W,,24W
AK24,3,,21
AK25,6,,24
AK26,1,,19
AK27,6,,24
AK28,18,,36
AK28,18W,,36W
AK29,E,,W
AK30,9,,27
AK31,16,,34
AK32,H1,,
AK33,7,,25
AK33,12,,30
AK34,NW,,SE
AK35,H1,,
AK36,1,,19
AK37,H1,,
AK38,H1,,
AK39,2,,20
AK40,16,,34
AK41,7,,25
AK42,H1,,
AK43,08W,,26W
AK44,16,,34
AK45,17,,35
AK46,7,,25
AK47,5,,23
AK48,H1,,
AK49,16,,34
AK5,09W,,27W
AK50,6,,24
AK51,5,,23
AK52,9,,27
AK53,16,,34
AK54,15,,33
AK55,8,,26
AK56,NE,,SW
AK57,15W,,33W
AK58,5,,23
AK59,6,,24
AK60,6,,24
AK61,18,,36
AK62,N,,S
AK62,NE,,SW
AK63,NE,,SW
AK64,14,,32
AK65,5,,23
AK66,9,,27
AK67,18,,36
AK68,15,,33
AK69,15,,33
AK71,7,,25
AK72,14,,32
AK73,18,,36
AK74,H1,,
AK75,2,,20
AK76,2,,20
AK77,9,,27
AK79,9,,27
AK8,04W,,22W
AK8,14W,,32W
AK80,2,,20
AK81,N,,S
AK82,H1,,
AK83,18,,36
AK84,8,,26
AK85,7,,25
AK86,4,,22
AK87,H1,,
AK88,15,,33
AK89,6,,24
AK90,16,,34
AK91,H1,,
AK92,17,,35
AK93,2,,20
AK94,H1,,
AK95,9,,27
AK97,4,,22
AK98,17,,35
AK99,2,,20
AL-LA10,14,142,32
AL00,2,,20
AL01,11,,29
AL02,8,,26
AL03,1,,19
AL05,4,40,22
AL06,H1,,
AL07,H1,,
AL08,17,,35
AL09,18,,36
AL10,9,,27
AL11,H1,,
AL12,9,90,27
AL13,H1,,
AL14,H1,,
AL15,N,,S
AL16,18,,36
AL17,15,,33
AL18,13,,31
AL19,H1,,
AL20,H1,,
AL21,H1,,
AL22,H1,,
AL24,H1,,
AL25,9,,27
AL26,H1,,
AL27,18,,36
AL28,H1,,
AL29,16,,34
AL32,4,,22
AL33,3,,21
AL34,9,,27
AL35,3,,21
AL36,H1,,
AL37,8,,26
AL38,H1,,
AL39,H1,,
AL40,1,,19
AL41,10,,28
AL42,H1,,
AL43,10,,28
AL45,H1,,
AL46,02W,,20W
AL46,08W,,26W
AL46,17W,,35W
AL47,H1,,
AL48,H1,,
AL49,H1,,
AL49,H2,,
AL50,H1,,
AL51,12,,30
AL52,H1,,
AL53,H1,,
AL54,17,,35
AL55,9,,27
AL56,5,,23
AL58,10W,,28W
AL59,H1,,
AL60,10,,28
AL62,18,,36
AL63,H1,,
AL65,H1,,
AL66,H1,,
AL69,18,,36
AL70,H1,,
AL71,8,80,26
AL73,14,140,32
AL74,5,,23
AL75,06W,,24W
AL76,2,,20
AL77,9,,27
AL78,17,,35
AL79,18,,36
AL81,N,,S
AL82,H1,,
AL83,H1,,
AL84,9,,27
AL86,H1,,
AL87,H1,,
AL88,9,,27
AL89,7,,25
AL90,H1,,
AL91,H1,,
AL92,11,,29
AL93,18,,36
AL94,18,,36
AL95,H1,,
AL95,H2,,
AL96,05W,,23W
AL97,18,,36
ALZ,NE,,SW
AM-0002,8,,26
AM-0007,15,,33
AMC,18,,36
AMF,15,,33
AMU,18,,36
AN01,13,,31
ANG,5,,23
ANYN,12,130.3,30
APR,18,,36
AQY,1,,19
AR-0005,12,,30
AR-0005,2,,20
AR-0008,1,,19
AR-0009,18,,36
AR-0009,9,,27
AR-0010,13,,31
AR-0010,3,,21
AR-0011,5,,23
AR-0012,8,,26
AR-0013,2,,20
AR-0014,1,,19
AR-0017,9,,27
AR-0018,1,,19
AR-0018,9,,27
AR-0019,7,,25
AR-0019,9,,27
AR-0020,H1,,H1
AR-0021,4,,22
AR-0022,1,,19
AR-0023,11,,29
AR-0023,16,,34
AR-0024,16,,34
AR-0024,3,,21
AR-0025,8,,26
AR-0026,14,,32
AR-0026,18,,36
AR-0026,9,,27
AR-0027,18,,36
AR-0027,8,,26
AR-0028,18,,36
AR-0028,6,,24
AR-0029,10,,28
AR-0030,18,,36
AR-0031,16,,34
AR-0032,18,,36
AR-0033,10,,28
AR-0034,16,,34
AR-0035,8,,26
AR-0036,2,,20
AR-0038,1,,19
AR-0040,18,,36
AR-0041,18,,36
AR-0044,1,,19
AR-0045,H1,,H1
AR-0046,H1,,H1
AR-0047,2,,20
AR-0048,14,,32
AR-0049,1,,19
AR-0050,H1,,H1
AR-0051,,,
AR-0052,11,,29
AR-0053,1,,19
AR-0053,17,,35
AR-0054,,,
AR-0056,2,,20
AR-0058,18,,36
AR-0060,6,,24
AR-0061,4,,22
AR-0062,15,,33
AR-0063,14,,32
AR-0066,6,,24
AR-0067,4,,22
AR-0068,2,,20
AR-0069,,,
AR-0070,1,,19
AR-0071,11,,29
AR-0073,,,
AR-0075,,,
AR-0076,1,,19
AR-0077,1,,19
AR-0078,1,,19
AR-0079,18,,36
AR-0080,2,,20
AR-0081,17,,35
AR-0081,9,,27
AR-0082,13,,31
AR-0082,18,,36
AR-0082,9,,27
AR-0083,17,,35
AR-0084,5,,23
AR-0085,3,,21
AR-0086,4,,22
AR-0087,,,
AR-0088,15,,33
AR-0092,,,
AR-0093,,,
AR-0094,18,,36
AR-0096,1,,19
AR-0096,10,,28
AR-0097,1,,19
AR-0098,18,,36
AR-0099,17,,35
AR-0100,4,,22
AR-0101,3,,21
AR-0101,8,,26
AR-0102,2,,20
AR-0104,,,
AR-0105,,,
AR-0107,17,,35
AR-0108,18,,36
AR-0109,,,
AR-0110,2,,20
AR-0111,2,,20
AR-0113,1,,19
AR-0113,10,,28
AR-0114,10,,28
AR-0114,18,,36
AR-0115,10,,28
AR-0115,15,,33
AR-0116,1,,19
AR-0117,3,,21
AR-0118,1,,19
AR-0119,7,,25
AR-0120,,,
AR-0121,2,,20
AR-0122,15,,33
AR-0123,,,
AR-0124,15,,33
AR-0125,3,,21
AR-0126,,,
AR-0127,5,,23
AR-0128,2,,20
AR-0128,6,,24
AR-0129,,,
AR-0130,18,,36
AR-0132,8,,26
AR-0133,,,
AR-0134,12,,30
AR-0134,5,,23
AR-0135,1,,19
AR-0136,8,,26
AR-0137,6,,24
AR-0138,18,,36
AR-0139,1,,19
AR-0140,17,,35
AR-0140,7,,25
AR-0141,15,,33
AR-0141,6,,24
AR-0142,3,,21
AR-0143,6,,24
AR-0144,,,
AR-0145,,,
AR-0146,,,
AR-0147,2,,20
AR-0150,9,,27
AR-0152,,,
AR-0153,7,,25
AR-0154,,,
AR-0155,,,
AR-0156,,,
AR-0157,18,,36
AR-0158,15,,33
AR-0159,,,
AR-0160,6,,24
AR-0161,18,,36
AR-0162,16,,34
AR-0163,,,
AR-0164,11,,29
AR-0165,1,,19
AR-0165,4,,22
AR-0166,18,,36
AR-0167,17,,35
AR-0168,18,,36
AR-0169,1,,19
AR-0169,13,,31
AR-0170,12,,30
AR-0172,1,,19
AR-0172,6,,24
AR-0173,17,,35
AR-0174,1,,19
AR-0175,11,,29
AR-0176,17,,35
AR-0176,5,,23
AR-0177,11,,29
AR-0178,6,,24
AR-0179,9,,27
AR-0180,13,,31
AR-0180,18,,36
AR-0181,2,,20
AR-0182,16,,34
AR-0184,10,,28
AR-0185,,,
AR-0186,,,
AR-0187,,,
AR-0188,,,
AR-0189,,,
AR-0190,,,
AR-0191,,,
AR-0192,,,
AR-0193,18,,36
AR-0193,5,,23
AR-0194,,,
AR-0195,,,
AR-0196,,,
AR-0197,,,
AR-0198,18,,36
AR-0199,1,,19
AR-0200,18,,36
AR-0201,2,,20
AR-0202,1,,19
AR-0203,18,,36
AR-0205,5,,23
AR-0206,,,
AR-0207,1,,19
AR-0208,2,,20
AR-0209,18,,36
AR-0210,1,,19
AR-0211,18,,36
AR-0212,11,,29
AR-0213,3,,21
AR-0214,5,,23
AR-0215,,,
AR-0216,18,,36
AR-0217,6,,24
AR-0218,18,,36
AR-0218,2,,20
AR-0218,9,,27
AR-0219,8,,26
AR-0220,,,
AR-0221,,,
AR-0224,15,,33
AR-0225,13,,31
AR-0226,,,
AR-0227,1,,19
AR-0228,,,
AR-0229,3,,21
AR-0230,5,,23
AR-0231,1,,19
AR-0232,3,,21
AR-0233,,,
AR-0234,1,,19
AR-0235,10,,28
AR-0236,,,
AR-0237,10,,28
AR-0238,12,,30
AR-0240,3,,21
AR-0241,17,,35
AR-0241,5,,23
AR-0242,,,
AR-0243,,,
AR-0244,10,,28
AR-0245,8,,26
AR-0246,16,,34
AR-0247,2,,20
AR-0248,1,,19
AR-0249,10,,28
AR-0250,,,
AR-0251,1,,19
AR-0252,15,,33
AR-0253,14,,32
AR-0255,12,,30
AR-0255,16,,34
AR-0255,2,,20
AR-0256,1,,19
AR-0257,10,,28
AR-0257,17,,35
AR-0258,2,,20
AR-0259,,,
AR-0260,8,,26
AR-0262,18,,36
AR-0263,,,
AR-0264,14,,32
AR-0264,5,,23
AR-0265,,,
AR-0266,14,,32
AR-0267,18,,36
AR-0268,,,
AR-0270,,,
AR-0271,1,,19
AR-0271,9,,27
AR-0272,18,,36
AR-0273,4,,22
AR-0274,15,,33
AR-0275,,,
AR-0276,1,,19
AR-0277,1,,19
AR-0278,18,,36
AR-0278,9,,27
AR-0279,,,
AR-0280,1,,19
AR-0281,7,,25
AR-0282,16,,34
AR-0283,,,
AR-0284,,,
AR-0285,1,,19
AR-0286,,,
AR-0287,,,
AR-0289,1,,19
AR-0290,1,,19
AR-0291,13,,31
AR-0292,16,,34
AR-0292,8,,26
AR-0293,18,,36
AR-0293,9,,27
AR-0296,9,,27
AR-0297,,,
AR-0298,3,,21
AR-0299,,,
AR-0300,,,
AR-0301,,,
AR-0304,14,,32
AR-0304,4,,22
AR-0305,9,,27
AR-0306,5,,23
AR-0308,10,,28
AR-0308,16,,34
AR-0309,,,
AR-0310,,,
AR-0311,14,,32
AR-0312,4,,22
AR-0313,14,,32
AR-0314,15,,33
AR-0315,16,,34
AR-0316,3,,21
AR-0316,8,,26
AR-0317,,,
AR-0318,18,,36
AR-0319,5,,23
AR-0320,7,,25
AR-0321,3,,21
AR-0322,1,,19
AR-0322,9,,27
AR-0323,12,,30
AR-0324,1,,19
AR-0325,11,,29
AR-0327,5,,23
AR-0328,18,,36
AR-0329,,,
AR-0330,,,
AR-0331,17,,35
AR-0332,4,,22
AR-0333,1,,19
AR-0333,3,,21
AR-0334,18,,36
AR-0335,5,,23
AR-0336,14,,32
AR-0339,,,
AR-0340,,,
AR-0343,,,
AR-0344,16,,34
AR-0344,4,,22
AR-0345,14,,32
AR-0346,10,,28
AR-0347,,,
AR-0348,,,
AR-0349,10,,28
AR-0350,,,
AR-0351,,,
AR-0352,1,,19
AR-0353,,,
AR-0354,1,,19
AR-0354,11,,29
AR-0355,14,,32
AR-0356,18,,36
AR-0357,,,
AR-0358,,,
AR-0359,,,
AR-0360,,,
AR-0361,,,
AR-0362,,,
AR-0363,,,
AR-0364,,,
AR-0365,,,
AR-0366,,,
AR-0367,,,
AR-0368,,,
AR-0369,8,,26
AR-0370,11,,29
AR-0371,,,
AR-0372,3,,21
AR-0373,2,,20
AR-0374,3,,21
AR-0375,14,,32
AR-0375,2,,20
AR-0376,10,,28
AR-0377,1,,19
AR-0378,11,,29
AR-0378,18,,36
AR-0379,16,,34
AR-0380,18,,36
AR-0381,17,,35
AR-0381,8,,26
AR-0382,16,,34
AR-0383,1,,19
AR-0383,9,,27
AR-0384,13,,31
AR-0385,2,,20
AR-0386,6,,24
AR-0388,2,,20
AR-0389,17,,35
AR-0390,13,,31
AR-0390,4,,22
AR-0391,4,,22
AR-0392,4,,22
AR-0393,16,,34
AR-0393,7,,25
AR-0394,2,,20
AR-0395,4,,22
AR-0396,6,,24
AR-0397,11,,29
AR-0398,2,,20
AR-0399,16,,34
AR-0400,4,,22
AR-0401,4,,22
AR-0402,18,,36
AR-0403,17,,35
AR-0404,17,,35
AR-0405,18,,36
AR-0406,2,,20
AR-0407,15,,33
AR-0408,10,,28
AR-0409,6,,24
AR-0410,1,,19
AR-0411,1,,19
AR-0412,1,,19
AR-0413,18,,36
AR-0414,5,,23
AR-0415,1,,19
AR-0416,4,,22
AR-0417,6,,24
AR-0418,4,,22
AR-0419,5,,23
AR-0420,15,,33
AR-0421,6,,24
AR-0422,15,,33
AR-0423,6,,24
AR-0424,14,,32
AR-0424,4,,22
AR-0425,18,,36
AR-0426,11,,29
AR-0427,13,,31
AR-0427,9,,27
AR-0428,18,,36
AR-0429,6,,24
AR-0430,14,,32
AR-0431,12,,30
AR-0432,14,,32
AR-0433,9,,27
AR-0434,1,,19
AR-0435,18,,36
AR-0436,7,,25
AR-0437,15,,33
AR-0438,1,,19
AR-0439,5,,23
AR-0440,2,,20
AR-0441,5,,23
AR-0442,1,,19
AR-0443,2,,20
