ICAO,Latitude,Longitude
EGBO,52.5175018311,-2.2594399452
EGBP,51.668095,-2.05694
EGBT,52.0407981873,-1.0955599546
EGBW,52.192199707,-1.6144399643
EGCC,53.3536987305,-2.2749500275
EGCD,53.3381,-2.14889
EGDC,51.0872001648,-4.1503400803
EGHQ,50.4406013489,-4.9954099655
EGDL,51.5051,-1.99343
EGDM,51.1521987915,-1.747410059
EGDR,50.086101532,-5.255710125
EGDX,51.404800415,-3.4357500076
EGDY,51.0093994141,-2.6388199329
EGFE,51.8330993652,-4.9611101151
EGFF,51.3967018127,-3.3433299065
EGFH,51.6053009033,-4.0678300858
EGGD,51.382702,-2.71909
EGGP,53.3335990906,-2.8497200012
EGGW,51.8746986389,-0.3683330119
EGHD,50.422798,-4.10583
EGHH,50.7799987793,-1.8424999714
EGHI,50.9502983093,-1.3567999601
EGHL,51.1871986389,-1.0334999561
EGJA,49.7061004639,-2.2147200108
EGJB,49.4350013733,-2.6019699574
EGJJ,49.207901001,-2.1955099106
EGKA,50.8356018066,-0.2972219884
EGKB,51.3307991028,0.0324999988
EGKK,51.1481018066,-0.1902779937
EGLC,51.505299,0.055278
EGLF,51.2757987976,-0.7763329744
EGLJ,51.6761016846,-1.080829978
EGLK,51.3238983154,-0.8475000262
EGLL,51.4706,-0.461941
EGMC,51.5713996887,0.695555985
EGMD,50.9561004639,0.9391670227
EGMH,51.342201,1.34611
EGNB,53.7197,-0.566333
EGNC,54.9375,-2.8091700077
EGNE,53.2806015015,-0.9513890147
EGNH,53.7717018127,-3.0286099911
EGNJ,53.5744018555,-0.3508329988
EGNL,54.1286111,-3.2675
EGNM,53.8658981323,-1.6605700254
EGNO,53.745098114,-2.8830599785
EGNR,53.1781005859,-2.9777801037
EGNS,54.0833015442,-4.6238899231
EGNT,55.0374984741,-1.6916699409
EGNV,54.5092010498,-1.4294099808
EGNX,52.8311004639,-1.3280600309
EGOD,52.8116989136,-4.1235799789
EGOE,52.8712005615,-2.5335600376
EGOS,52.7981987,-2.6680400372
EGOW,53.5816001892,-3.0555200577
EGPA,58.9578018188,-2.9049999714
EGPB,59.8788986206,-1.2955600023
EGPC,58.4589004517,-3.0930600166
EGPD,57.2019004822,-2.1977798939
EGPE,57.5424995422,-4.0475001335
EGPF,55.8718986511,-4.4330601692
EGPH,55.9500007629,-3.3724999428
EGPI,55.6819000244,-6.2566699982
EGPK,55.5093994141,-4.5866699219
EGPL,57.481098175,-7.3627800941
EGPM,60.432800293,-1.296110034
EGPN,56.4524993896,-3.0258300304
EGPO,58.2155990601,-6.3311100006
EGPU,56.4991989136,-6.8691701889
EGQL,56.3728981018,-2.8684399128
EGQS,57.7052001953,-3.3391699791
EGSC,52.2050018311,0.174999997
EGSF,52.4681015015,-0.2511110008
EGSH,52.6758003235,1.2827800512
EGSS,51.8849983215,0.2349999994
EGSX,51.721698761,0.1541669965
EGSY,53.394299,-1.38849
EGTC,52.0722007751,-0.6166669726
EGTE,50.7344017029,-3.4138898849
EGTG,51.5194015503,-2.5908300877
EGTK,51.8368988037,-1.3200000525
EGUB,51.6164016724,-1.0958299637
EGUL,52.4093017578,0.5609999895
EGUN,52.3619003296,0.4864059985
EGUW,52.1273002625,0.956264019
EGUY,52.3572006226,-0.107832998
EGVA,51.6822013855,-1.7900300026
EGVN,51.75,-1.58362
EGVO,51.2341003418,-0.9428250194
EGWC,52.639999,-2.30558
EGWU,51.5530014038,-0.418166995
EGXC,53.0929985046,-0.1660140008
EGXD,54.1371994019,-1.4202500582
EGXE,54.2924,-1.5354
EGXG,53.834301,-1.1955
EGXH,52.3426017761,0.7729390264
EGXJ,52.735699,-0.648769
EGXP,53.307800293,-0.5508329868
EGXT,52.6125984192,-0.4764530063
EGXU,54.0489006042,-1.2527500391
EGXW,53.1661987305,-0.5238109827
EGXZ,54.2055015564,-1.3820899725
EGYD,53.0303001404,-0.4832420051
EGYE,52.9622001648,-0.5616250038
EGYM,52.648395,0.550692
EGYP,-51.8227996826,-58.4472007751
EHAM,52.3086013794,4.7638897896
EHBD,51.2552986145,5.601389885
EHBK,50.9117012024,5.7701401711
EHDL,52.0606,5.87306
EHDR,53.1192016602,6.129720211
EHEH,51.4500999451,5.3745298386
EHGG,53.1197013855,6.5794401169
EHGR,51.567401886,4.9318299294
EHKD,52.9234008789,4.7806200981
EHLE,52.4603004456,5.5272197723
EHLW,53.2285995483,5.7605600357
EHRD,51.956902,4.43722
EHSB,52.1273002625,5.2761898041
EHTW,52.2758333,6.8891667
EHVB,52.1660995483,4.4179401398
EHWO,51.4491,4.34203
EICK,51.8413009644,-8.491109848
EICM,53.300201416,-8.9415903091
EIDW,53.4212989807,-6.270070076
EIKN,53.9103012085,-8.8184900284
EIKY,52.1809005737,-9.5237798691
EIME,53.301700592,-6.4513301849
EINN,52.7019996643,-8.9248199463
EISG,54.2802009583,-8.5992097855
EIWF,52.1871986389,-7.0869598389
EKAH,56.2999992371,10.6190004349
EKBI,55.7402992249,9.1517801285
EKCH,55.6179008484,12.6560001373
EKEB,55.5259017944,8.5534000397
EKGH,55.9413986206,12.3822002411
EKKA,56.2975006104,9.1246299744
EKLS,57.2771987915,11.0001001358
EKMB,54.699299,11.4401
EKOD,55.4766998291,10.3309001923
EKPB,54.870300293,9.279009819
EKRK,55.5856018066,12.1314001083
EKRN,55.0633010864,14.7595996857
EKSB,54.9644012451,9.7917299271
EKSP,55.221048,9.26702
EKSV,56.550201416,9.1729803085
EKTS,57.0688018799,8.7052202225
EKVD,55.4362983704,9.3309202194
EKVG,62.0635986328,-7.2772197723
EKVH,56.846901,9.45861
EKVJ,55.9901008606,8.3539104462
EKYT,57.0927589138,9.8492431641
ELLX,49.6233333,6.2044444
ENAL,62.5625,6.119699955
ENAN,69.2925033569,16.1441993713
ENAT,69.9760971069,23.3717002869
ENBM,60.6389007568,6.5015001297
ENBN,65.4610977173,12.217499733
ENBO,67.269203186,14.3653001785
ENBR,60.29339981,5.218140125
ENBS,70.6005020142,29.691400528
ENCN,58.2042007446,8.0853700638
